Transaction ID,Date,Amount,Category,Payment Method,Location,Merchant,Description,Transaction Type,Day of Week
1,2023-11-16,94.06,Groceries,Bank Transfer,Pharmacy,Shell,Dinner with friends,Variable,Thursday
2,2023-07-14,9.09,Bills,Credit Card,Supermarket,CVS,Weekly groceries,Fixed,Friday
3,2024-04-15,85.27,Bills,Credit Card,Fuel Station,Amazon,Doctor's visit,Fixed,Monday
4,2024-02-03,100.44,Transport,Debit Card,Online,Shell,Doctor's visit,Variable,Saturday
5,2024-10-30,52.52,Groceries,Credit Card,Restaurant,Amazon,Dinner with friends,Variable,Wednesday
6,2022-10-05,119.78,Bills,Cash,Pharmacy,CVS,Bus fare,Fixed,Wednesday
7,2023-08-23,151.88,Healthcare,Cash,Supermarket,Walmart,Monthly subscription,Fixed,Wednesday
8,2023-08-24,50.99,Eating Out,Debit Card,Restaurant,Starbucks,Gift shopping,Variable,Thursday
9,2022-11-11,126.0,Eating Out,Credit Card,Pharmacy,Starbucks,Doctor's visit,Variable,Friday
10,2023-12-07,129.73,Entertainment,Debit Card,Fuel Station,Amazon,Gas refill,Variable,Thursday
11,2023-07-06,189.97,Healthcare,Debit Card,Supermarket,Netflix,Doctor's visit,Fixed,Thursday
12,2022-03-29,156.76,Entertainment,Credit Card,Restaurant,Amazon,Monthly subscription,Variable,Tuesday
13,2022-06-24,170.43,Healthcare,Bank Transfer,Online,CVS,Weekly groceries,Fixed,Friday
14,2024-04-29,100.63,Bills,Credit Card,Supermarket,Amazon,Monthly subscription,Fixed,Monday
15,2023-06-22,41.14,Transport,Cash,Supermarket,Starbucks,Dinner with friends,Variable,Thursday
16,2024-04-25,199.18,Transport,Credit Card,Supermarket,Amazon,Gas refill,Variable,Thursday
17,2022-03-14,30.22,Transport,Bank Transfer,Pharmacy,Amazon,Gift shopping,Variable,Monday
18,2024-02-17,96.93,Healthcare,Credit Card,Online,Shell,Gas refill,Fixed,Saturday
19,2022-04-26,18.28,Transport,Cash,Fuel Station,Amazon,Doctor's visit,Variable,Tuesday
20,2024-09-03,189.05,Groceries,Cash,Online,Shell,Movie night,Variable,Tuesday
21,2024-01-26,193.16,Healthcare,Bank Transfer,Fuel Station,Walmart,Doctor's visit,Fixed,Friday
22,2023-03-25,145.28,Healthcare,Bank Transfer,Supermarket,Netflix,Movie night,Fixed,Saturday
23,2024-04-30,73.25,Transport,Cash,Fuel Station,Amazon,Gas refill,Variable,Tuesday
24,2022-04-10,54.6,Entertainment,Cash,Supermarket,Shell,Bus fare,Variable,Sunday
25,2024-01-26,56.73,Healthcare,Credit Card,Online,CVS,Weekly groceries,Fixed,Friday
26,2024-03-08,29.82,Entertainment,Debit Card,Restaurant,CVS,Dinner with friends,Variable,Friday
27,2023-10-22,107.53,Healthcare,Debit Card,Supermarket,Shell,Gift shopping,Fixed,Sunday
28,2024-06-29,32.65,Groceries,Bank Transfer,Online,CVS,Gift shopping,Variable,Saturday
29,2023-02-28,66.76,Bills,Bank Transfer,Pharmacy,CVS,Gas refill,Fixed,Tuesday
30,2023-11-29,127.21,Eating Out,Debit Card,Online,Amazon,Movie night,Variable,Wednesday
31,2023-10-02,146.87,Entertainment,Cash,Restaurant,Starbucks,Monthly subscription,Variable,Monday
32,2023-06-29,9.73,Entertainment,Bank Transfer,Supermarket,Starbucks,Movie night,Variable,Thursday
33,2023-06-28,88.87,Healthcare,Credit Card,Fuel Station,Amazon,Weekly groceries,Fixed,Wednesday
34,2023-12-16,132.16,Groceries,Debit Card,Online,Amazon,Gas refill,Variable,Saturday
35,2022-09-02,171.38,Entertainment,Credit Card,Mall,Starbucks,Weekly groceries,Variable,Friday
36,2022-06-01,97.69,Eating Out,Credit Card,Supermarket,Amazon,Movie night,Variable,Wednesday
37,2023-11-07,194.0,Groceries,Cash,Supermarket,Amazon,Movie night,Variable,Tuesday
38,2023-05-26,56.8,Transport,Bank Transfer,Mall,Starbucks,Movie night,Variable,Friday
39,2024-06-01,7.63,Transport,Bank Transfer,Supermarket,Shell,Dinner with friends,Variable,Saturday
40,2022-01-29,99.33,Transport,Bank Transfer,Pharmacy,Walmart,Gas refill,Variable,Saturday
41,2024-03-13,54.94,Eating Out,Cash,Pharmacy,Amazon,Gift shopping,Variable,Wednesday
42,2022-05-09,165.62,Bills,Credit Card,Restaurant,Starbucks,Gift shopping,Fixed,Monday
43,2022-05-09,50.39,Entertainment,Credit Card,Fuel Station,CVS,Gift shopping,Variable,Monday
44,2024-01-27,65.57,Eating Out,Credit Card,Restaurant,Amazon,Movie night,Variable,Saturday
45,2022-10-01,159.29,Bills,Credit Card,Online,Amazon,Bus fare,Fixed,Saturday
46,2022-12-02,144.45,Groceries,Bank Transfer,Online,Shell,Dinner with friends,Variable,Friday
47,2023-01-24,113.82,Eating Out,Bank Transfer,Pharmacy,Walmart,Dinner with friends,Variable,Tuesday
48,2023-06-28,142.46,Groceries,Credit Card,Supermarket,Amazon,Bus fare,Variable,Wednesday
49,2024-06-07,86.63,Bills,Credit Card,Fuel Station,Walmart,Weekly groceries,Fixed,Friday
50,2022-09-15,6.04,Eating Out,Cash,Fuel Station,Starbucks,Weekly groceries,Variable,Thursday
51,2022-02-27,7.21,Entertainment,Bank Transfer,Mall,Starbucks,Gift shopping,Variable,Sunday
52,2022-10-19,104.69,Bills,Bank Transfer,Fuel Station,CVS,Movie night,Fixed,Wednesday
53,2024-02-19,21.24,Entertainment,Credit Card,Pharmacy,Netflix,Monthly subscription,Variable,Monday
54,2023-03-07,14.96,Groceries,Bank Transfer,Restaurant,Shell,Bus fare,Variable,Tuesday
55,2022-04-02,193.28,Entertainment,Bank Transfer,Restaurant,Starbucks,Gas refill,Variable,Saturday
56,2023-02-03,172.51,Eating Out,Credit Card,Restaurant,CVS,Weekly groceries,Variable,Friday
57,2023-09-04,34.65,Eating Out,Debit Card,Fuel Station,Amazon,Weekly groceries,Variable,Monday
58,2024-06-27,5.13,Transport,Debit Card,Fuel Station,Amazon,Movie night,Variable,Thursday
59,2023-09-26,188.63,Healthcare,Debit Card,Mall,Starbucks,Bus fare,Fixed,Tuesday
60,2022-03-26,59.27,Entertainment,Bank Transfer,Restaurant,Netflix,Gift shopping,Variable,Saturday
61,2022-07-23,41.25,Transport,Cash,Restaurant,CVS,Doctor's visit,Variable,Saturday
62,2022-11-21,139.84,Bills,Bank Transfer,Online,Shell,Gas refill,Fixed,Monday
63,2024-02-14,26.24,Groceries,Credit Card,Supermarket,CVS,Weekly groceries,Variable,Wednesday
64,2024-08-22,56.61,Bills,Cash,Fuel Station,Netflix,Bus fare,Fixed,Thursday
65,2023-10-02,195.14,Healthcare,Credit Card,Supermarket,Walmart,Gift shopping,Fixed,Monday
66,2024-08-30,129.7,Groceries,Cash,Mall,Shell,Doctor's visit,Variable,Friday
67,2024-05-18,106.53,Healthcare,Cash,Restaurant,Shell,Movie night,Fixed,Saturday
68,2024-08-12,82.59,Entertainment,Cash,Online,Amazon,Doctor's visit,Variable,Monday
69,2024-03-02,156.03,Eating Out,Cash,Supermarket,Shell,Movie night,Variable,Saturday
70,2023-12-21,32.49,Entertainment,Debit Card,Mall,Shell,Movie night,Variable,Thursday
71,2024-06-28,193.63,Groceries,Cash,Online,Amazon,Weekly groceries,Variable,Friday
72,2023-01-09,172.92,Transport,Cash,Restaurant,Shell,Monthly subscription,Variable,Monday
73,2023-07-15,125.44,Groceries,Credit Card,Mall,Netflix,Dinner with friends,Variable,Saturday
74,2022-06-19,13.37,Transport,Credit Card,Fuel Station,Shell,Gift shopping,Variable,Sunday
